[dpo] loading model...
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/310 [00:00<?, ?it/s]Loading weights: 100%|██████████| 310/310 [00:00<00:00, 12986.24it/s]
trainable params: 10,092,544 || all params: 606,142,464 || trainable%: 1.6650
[dpo] 840 pairs
[dpo] tokenizing pairs...
[dpo] max seq len: 1200
[dpo] ep1 step 1/840 loss=0.6931 margin=0.000
[dpo] ep1 step 2/840 loss=0.6931 margin=0.000
[dpo] ep1 step 3/840 loss=0.6931 margin=0.000
[dpo] ep1 step 4/840 loss=0.6931 margin=0.000
[dpo] ep1 step 5/840 loss=0.6988 margin=-0.113
[dpo] ep1 step 6/840 loss=0.7860 margin=-1.779
[dpo] ep1 step 7/840 loss=0.3793 margin=7.737
[dpo] ep1 step 8/840 loss=0.6846 margin=0.171
[dpo] ep1 step 9/840 loss=0.5099 margin=4.077
[dpo] ep1 step 10/840 loss=0.6841 margin=0.181
[dpo] ep1 step 11/840 loss=0.6437 margin=1.014
[dpo] ep1 step 12/840 loss=0.6371 margin=1.154
[dpo] ep1 step 13/840 loss=0.3805 margin=7.699
[dpo] ep1 step 14/840 loss=0.6308 margin=1.289
[dpo] ep1 step 15/840 loss=0.6993 margin=-0.122
[dpo] ep1 step 16/840 loss=0.5063 margin=4.167
[dpo] ep1 step 17/840 loss=0.0488 margin=29.954
[dpo] ep1 step 18/840 loss=0.5064 margin=4.166
[dpo] ep1 step 19/840 loss=0.6682 margin=0.506
[dpo] ep1 step 20/840 loss=0.3341 margin=9.247
[dpo] ep1 step 21/840 loss=0.5513 margin=3.071
[dpo] ep1 step 22/840 loss=0.7690 margin=-1.464
[dpo] ep1 step 23/840 loss=0.2098 margin=14.550
[dpo] ep1 step 24/840 loss=0.4245 margin=6.370
[dpo] ep1 step 25/840 loss=0.3985 margin=7.142
[dpo] ep1 step 26/840 loss=0.3562 margin=8.489
[dpo] ep1 step 27/840 loss=0.2994 margin=10.524
[dpo] ep1 step 28/840 loss=0.2818 margin=11.222
[dpo] ep1 step 29/840 loss=0.4616 margin=5.334
[dpo] ep1 step 30/840 loss=0.1506 margin=18.166
[dpo] ep1 step 31/840 loss=1.7239 margin=-15.275
[dpo] ep1 step 32/840 loss=0.1641 margin=17.243
[dpo] ep1 step 33/840 loss=0.2958 margin=10.664
[dpo] ep1 step 34/840 loss=0.0024 margin=60.295
[dpo] ep1 step 35/840 loss=0.7190 margin=-0.511
[dpo] ep1 step 36/840 loss=0.1123 margin=21.303
[dpo] ep1 step 37/840 loss=0.0017 margin=64.047
[dpo] ep1 step 38/840 loss=0.0087 margin=47.359
[dpo] ep1 step 39/840 loss=0.3617 margin=8.308
[dpo] ep1 step 40/840 loss=0.2308 margin=13.488
[dpo] ep1 step 41/840 loss=0.0258 margin=36.437
[dpo] ep1 step 42/840 loss=0.0062 margin=50.817
[dpo] ep1 step 43/840 loss=0.1937 margin=15.433
[dpo] ep1 step 44/840 loss=0.3082 margin=10.188
[dpo] ep1 step 45/840 loss=0.3617 margin=8.306
[dpo] ep1 step 46/840 loss=0.0005 margin=76.656
[dpo] ep1 step 47/840 loss=0.0754 margin=25.475
[dpo] ep1 step 48/840 loss=0.0325 margin=34.103
[dpo] ep1 step 49/840 loss=0.1416 margin=18.831
[dpo] ep1 step 50/840 loss=0.0236 margin=37.353
[dpo] ep1 step 51/840 loss=0.1736 margin=16.627
[dpo] ep1 step 52/840 loss=0.2392 margin=13.085
[dpo] ep1 step 53/840 loss=0.0332 margin=33.876
[dpo] ep1 step 54/840 loss=0.0388 margin=32.301
[dpo] ep1 step 55/840 loss=0.0071 margin=49.387
[dpo] ep1 step 56/840 loss=0.2094 margin=14.571
[dpo] ep1 step 57/840 loss=0.2315 margin=13.452
[dpo] ep1 step 58/840 loss=0.1723 margin=16.713
[dpo] ep1 step 59/840 loss=0.3683 margin=8.092
[dpo] ep1 step 60/840 loss=0.0070 margin=49.615
[dpo] ep1 step 61/840 loss=0.0031 margin=57.763
[dpo] ep1 step 62/840 loss=0.2647 margin=11.940
[dpo] ep1 step 63/840 loss=0.0027 margin=59.110
[dpo] ep1 step 64/840 loss=0.0108 margin=45.273
[dpo] ep1 step 65/840 loss=0.0388 margin=32.311
[dpo] ep1 step 66/840 loss=0.0361 margin=33.023
[dpo] ep1 step 67/840 loss=0.0593 margin=27.946
[dpo] ep1 step 68/840 loss=0.0197 margin=39.183
[dpo] ep1 step 69/840 loss=0.0909 margin=23.522
[dpo] ep1 step 70/840 loss=0.0016 margin=64.292
[dpo] ep1 step 71/840 loss=0.1010 margin=22.413
[dpo] ep1 step 72/840 loss=0.0566 margin=28.441
[dpo] ep1 step 73/840 loss=0.5788 margin=2.434
[dpo] ep1 step 74/840 loss=0.0000 margin=103.287
[dpo] ep1 step 75/840 loss=0.1243 margin=20.226
[dpo] ep1 step 76/840 loss=0.0161 margin=41.191
[dpo] ep1 step 77/840 loss=0.0259 margin=36.416
[dpo] ep1 step 78/840 loss=0.0112 margin=44.890
[dpo] ep1 step 79/840 loss=0.0163 margin=41.072
[dpo] ep1 step 80/840 loss=0.0064 margin=50.442
[dpo] ep1 step 81/840 loss=0.2307 margin=13.489
[dpo] ep1 step 82/840 loss=0.0139 margin=42.690
[dpo] ep1 step 83/840 loss=0.0000 margin=113.387
[dpo] ep1 step 84/840 loss=0.0073 margin=49.194
[dpo] ep1 step 85/840 loss=0.0000 margin=105.455
[dpo] ep1 step 86/840 loss=0.5351 margin=3.459
[dpo] ep1 step 87/840 loss=0.0135 margin=42.966
[dpo] ep1 step 88/840 loss=0.0040 margin=55.312
[dpo] ep1 step 89/840 loss=0.0573 margin=28.299
[dpo] ep1 step 90/840 loss=0.0000 margin=122.287
